time,mixture cell P,reference cell P,mixture cell T,reference cell T
1900-01-01 13:36:40.681812,6.077414,5.986675,57.978132,55.524079
1900-01-01 13:36:41.683475,6.083895,5.989915,57.976367,55.535359
1900-01-01 13:36:42.683136,6.067692,5.980193,57.971072,55.538604
1900-01-01 13:36:43.683796,6.074173,5.986675,57.969984,55.539089
1900-01-01 13:36:44.684455,6.064451,5.993156,57.97269,55.542923
1900-01-01 13:36:45.684113,6.067692,5.980193,57.976591,55.544355
1900-01-01 13:36:46.684774,6.090377,5.993156,57.959742,55.542781
1900-01-01 13:36:47.684432,6.077414,5.960749,57.953198,55.541627
1900-01-01 13:36:48.684092,6.087136,5.999637,57.959474,55.540488
1900-01-01 13:36:49.684752,6.070933,5.983434,57.949337,55.529214
1900-01-01 13:36:50.684412,6.067692,5.973712,57.951903,55.530658
1900-01-01 13:36:51.684068,6.080655,5.999637,57.957767,55.538104
1900-01-01 13:36:52.684734,6.067692,5.970471,57.963008,55.542227
1900-01-01 13:36:53.684387,6.070933,5.983434,57.954428,55.541058
1900-01-01 13:36:54.684047,6.090377,5.996397,57.953166,55.529673
1900-01-01 13:36:55.684707,6.070933,5.980193,57.950717,55.531271
1900-01-01 13:36:56.684367,6.087136,5.976953,57.954359,55.529294
1900-01-01 13:36:57.684026,6.077414,5.983434,57.944695,55.527265
1900-01-01 13:36:58.684684,6.087136,5.973712,57.944443,55.528363
1900-01-01 13:36:59.684342,6.087136,5.999637,57.937726,55.535133
1900-01-01 13:37:00.684003,6.090377,5.980193,57.944725,55.53022
1900-01-01 13:37:01.684662,6.077414,5.993156,57.958376,55.542312
1900-01-01 13:37:02.684320,6.070933,5.999637,57.954616,55.540347
1900-01-01 13:37:03.683980,6.05797,5.983434,57.945827,55.536722
1900-01-01 13:37:04.684639,6.083895,5.986675,57.941293,55.528807
1900-01-01 13:37:05.684299,6.093617,5.993156,57.952074,55.533754
1900-01-01 13:37:06.683956,6.096858,5.989915,57.941824,55.529115
1900-01-01 13:37:07.684618,6.087136,5.996397,57.959968,55.544806
1900-01-01 13:37:08.684275,6.100099,5.996397,57.953214,55.547716
1900-01-01 13:37:09.683949,6.090377,5.999637,57.941166,55.521933
1900-01-01 13:37:10.684594,6.096858,6.006119,57.926922,55.519368
1900-01-01 13:37:11.684254,6.096858,5.993156,57.932761,55.529262
1900-01-01 13:37:12.683910,6.10658,6.009359,57.941968,55.546803
1900-01-01 13:37:13.684570,6.109821,6.006119,57.946846,55.541565
1900-01-01 13:37:14.684231,6.090377,6.002878,57.945807,55.531978
1900-01-01 13:37:15.683887,6.10334,6.002878,57.942596,55.529662
1900-01-01 13:37:16.684583,6.116302,6.002878,57.940685,55.530673
1900-01-01 13:37:17.684208,6.096858,5.993156,57.936202,55.529109
1900-01-01 13:37:18.683865,6.10658,6.035285,57.948265,55.549959
1900-01-01 13:37:19.684558,6.10658,6.009359,57.931952,55.527553
1900-01-01 13:37:20.684218,6.10658,6.009359,57.942511,55.526203
1900-01-01 13:37:21.683875,6.10658,6.022322,57.944077,55.542167
1900-01-01 13:37:22.684538,6.100099,6.0126,57.932765,55.51757
1900-01-01 13:37:23.684196,6.093617,5.993156,57.948516,55.540538
1900-01-01 13:37:24.683853,6.087136,6.0126,57.932526,55.533751
1900-01-01 13:37:25.684513,6.100099,5.999637,57.9315,55.531599
1900-01-01 13:37:26.684171,6.10334,6.002878,57.935428,55.538231
1900-01-01 13:37:27.683831,6.100099,5.999637,57.942739,55.536328
1900-01-01 13:37:28.684492,6.093617,6.009359,57.938668,55.543949
1900-01-01 13:37:29.684150,6.080655,5.993156,57.943932,55.535498
1900-01-01 13:37:30.683806,6.080655,5.993156,57.935069,55.54147
1900-01-01 13:37:31.684468,6.077414,5.989915,57.936425,55.543278
1900-01-01 13:37:32.684126,6.067692,5.976953,57.950813,55.541713
1900-01-01 13:37:33.684788,6.067692,5.989915,57.936831,55.535361
1900-01-01 13:37:34.684448,6.064451,5.989915,57.93336,55.539309
1900-01-01 13:37:35.684103,6.093617,5.976953,57.941845,55.553878
1900-01-01 13:37:36.684768,6.067692,5.989915,57.932457,55.527608
1900-01-01 13:37:37.684422,6.074173,5.993156,57.942537,55.534552
1900-01-01 13:37:38.684081,6.090377,6.009359,57.93461,55.54506
1900-01-01 13:37:39.684742,6.080655,5.989915,57.934996,55.543196
1900-01-01 13:37:40.684402,6.077414,5.983434,57.931362,55.526512
1900-01-01 13:37:41.684059,6.077414,5.983434,57.94495,55.539442
1900-01-01 13:37:42.684720,6.080655,5.989915,57.923754,55.524293
1900-01-01 13:37:43.684379,6.087136,5.986675,57.926971,55.528414
1900-01-01 13:37:44.684034,6.077414,6.0126,57.942396,55.544083
1900-01-01 13:37:45.684697,6.093617,5.993156,57.93503,55.540531
1900-01-01 13:37:46.684356,6.090377,6.009359,57.922857,55.523395
1900-01-01 13:37:47.684013,6.090377,5.996397,57.92223,55.53064
1900-01-01 13:37:48.684676,6.087136,6.019082,57.929691,55.526189
1900-01-01 13:37:49.684334,6.10334,5.999637,57.929825,55.529697
1900-01-01 13:37:50.683993,6.090377,6.009359,57.926393,55.524462
1900-01-01 13:37:51.684651,6.096858,6.009359,57.930085,55.531981
1900-01-01 13:37:52.684310,6.113062,6.009359,57.929058,55.529604
1900-01-01 13:37:53.683969,6.113062,6.028804,57.932727,55.530803
1900-01-01 13:37:54.684629,6.109821,5.999637,57.939926,55.529013
1900-01-01 13:37:55.684286,6.119543,6.015841,57.940996,55.547629
1900-01-01 13:37:56.683947,6.109821,6.009359,57.932918,55.538417
1900-01-01 13:37:57.684606,6.093617,5.999637,57.927013,55.534529
1900-01-01 13:37:58.684264,6.109821,6.006119,57.928581,55.527777
1900-01-01 13:37:59.683923,6.113062,6.006119,57.932487,55.543159
1900-01-01 13:38:00.684585,6.113062,6.015841,57.934131,55.545255
1900-01-01 13:38:01.684241,6.090377,5.999637,57.925118,55.530383
1900-01-01 13:38:02.683899,6.100099,6.022322,57.939717,55.547248
1900-01-01 13:38:03.684560,6.100099,6.006119,57.9345,55.547199
1900-01-01 13:38:04.684218,6.113062,5.993156,57.934073,55.538449
1900-01-01 13:38:05.683877,6.116302,6.041766,57.932309,55.531734
1900-01-01 13:38:06.684538,6.10334,6.006119,57.917916,55.525196
1900-01-01 13:38:07.684223,6.096858,6.009359,57.925814,55.533329
1900-01-01 13:38:08.683856,6.116302,6.0126,57.9335,55.538325
1900-01-01 13:38:09.684516,6.129265,6.032044,57.919231,55.526962
1900-01-01 13:38:10.685209,6.100099,6.015841,57.932372,55.537421
1900-01-01 13:38:11.684834,6.100099,6.0126,57.932531,55.540054
1900-01-01 13:38:12.685495,6.109821,6.0126,57.930832,55.53183
1900-01-01 13:38:13.685154,6.109821,6.019082,57.923066,55.518431
1900-01-01 13:38:14.684813,6.119543,6.019082,57.946989,55.546882
1900-01-01 13:38:15.685476,6.109821,6.019082,57.92678,55.538345
1900-01-01 13:38:16.685132,6.113062,6.0126,57.921435,55.528495
1900-01-01 13:38:17.685791,6.100099,6.0126,57.943462,55.539527
1900-01-01 13:38:18.685451,6.096858,6.015841,57.939628,55.550759
1900-01-01 13:38:19.685140,6.113062,6.022322,57.932225,55.538173
1900-01-01 13:38:20.685771,6.113062,6.028804,57.924607,55.535494
1900-01-01 13:38:21.685427,6.096858,6.035285,57.922758,55.529594
1900-01-01 13:38:22.685086,6.10334,6.002878,57.925926,55.530741
1900-01-01 13:38:23.685747,6.119543,6.015841,57.949175,55.538948
1900-01-01 13:38:24.685406,6.087136,6.015841,57.940374,55.540034
1900-01-01 13:38:25.685065,6.096858,6.006119,57.928126,55.525522
1900-01-01 13:38:26.685724,6.10658,6.022322,57.93937,55.53273
1900-01-01 13:38:27.685382,6.096858,6.009359,57.926786,55.534078
1900-01-01 13:38:28.685041,6.10334,6.0126,57.934808,55.534911
1900-01-01 13:38:29.685702,6.116302,6.019082,57.931772,55.530072
1900-01-01 13:38:30.685387,6.122784,6.006119,57.931395,55.533068
1900-01-01 13:38:31.685020,6.116302,6.006119,57.921734,55.529244
1900-01-01 13:38:32.685678,6.090377,6.0126,57.932089,55.531964
1900-01-01 13:38:33.685337,6.10334,6.002878,57.935104,55.541281
1900-01-01 13:38:34.684995,6.093617,6.002878,57.908606,55.524648
1900-01-01 13:38:35.685658,6.100099,6.019082,57.923393,55.534504
1900-01-01 13:38:36.685318,6.090377,5.999637,57.934424,55.527328
1900-01-01 13:38:37.684973,6.087136,6.028804,57.925112,55.531726
1900-01-01 13:38:38.685635,6.100099,6.002878,57.933308,55.529811
1900-01-01 13:38:39.685292,6.10658,6.006119,57.92115,55.522136
1900-01-01 13:38:40.684951,6.083895,6.015841,57.922706,55.528642
1900-01-01 13:38:41.685610,6.10658,6.019082,57.933998,55.540174
1900-01-01 13:38:42.685270,6.090377,5.996397,57.934981,55.542507
1900-01-01 13:38:43.684959,6.083895,5.999637,57.931385,55.529909
1900-01-01 13:38:44.685591,6.080655,6.0126,57.926329,55.528446
1900-01-01 13:38:45.685275,6.074173,5.986675,57.923389,55.542598
1900-01-01 13:38:46.684906,6.083895,5.986675,57.933499,55.53675
1900-01-01 13:38:47.685567,6.096858,5.996397,57.935282,55.539434
1900-01-01 13:38:48.685226,6.074173,5.973712,57.927066,55.536382
1900-01-01 13:38:49.684884,6.096858,6.006119,57.936223,55.535428
1900-01-01 13:38:50.685544,6.096858,6.006119,57.931066,55.532514
1900-01-01 13:38:51.685204,6.083895,5.989915,57.926932,55.524551
1900-01-01 13:38:52.684860,6.090377,5.989915,57.926243,55.527011
1900-01-01 13:38:53.685520,6.090377,5.993156,57.94948,55.547351
1900-01-01 13:38:54.685211,6.083895,5.986675,57.941116,55.539877
1900-01-01 13:38:55.684838,6.087136,5.976953,57.929056,55.537925
1900-01-01 13:38:56.685527,6.093617,5.989915,57.92008,55.533436
1900-01-01 13:38:57.685159,6.087136,6.002878,57.925344,55.537132
1900-01-01 13:38:58.684814,6.090377,6.002878,57.925579,55.538267
1900-01-01 13:38:59.685479,6.083895,6.002878,57.918412,55.529517
1900-01-01 13:39:00.685139,6.090377,6.002878,57.924661,55.525877
1900-01-01 13:39:01.684799,6.100099,6.006119,57.92144,55.52805
1900-01-01 13:39:02.685458,6.090377,6.019082,57.920825,55.540031
1900-01-01 13:39:03.685115,6.096858,6.002878,57.931704,55.533377
1900-01-01 13:39:04.685779,6.077414,5.993156,57.932303,55.534428
1900-01-01 13:39:05.685435,6.083895,5.983434,57.924261,55.532674
1900-01-01 13:39:06.685094,6.113062,5.993156,57.932208,55.533658
1900-01-01 13:39:07.685755,6.087136,6.0126,57.928026,55.53307
1900-01-01 13:39:08.686416,6.093617,6.006119,57.93193,55.539227
1900-01-01 13:39:09.686073,6.096858,6.022322,57.932014,55.52964
1900-01-01 13:39:10.686736,6.090377,5.989915,57.911143,55.531687
1900-01-01 13:39:11.686395,6.100099,6.002878,57.924485,55.534697
1900-01-01 13:39:12.686053,6.10658,6.006119,57.936062,55.544714
1900-01-01 13:39:13.686711,6.100099,6.009359,57.929171,55.530167
1900-01-01 13:39:14.686372,6.093617,6.002878,57.921605,55.530239
1900-01-01 13:39:15.686029,6.096858,5.999637,57.919566,55.529998
1900-01-01 13:39:16.686690,6.100099,5.993156,57.927739,55.541779
1900-01-01 13:39:17.686349,6.093617,5.999637,57.930422,55.53007
1900-01-01 13:39:18.686008,6.090377,6.002878,57.929507,55.536126
1900-01-01 13:39:19.686666,6.10658,6.002878,57.930504,55.544998
1900-01-01 13:39:20.686327,6.093617,5.999637,57.927806,55.540047
1900-01-01 13:39:21.685983,6.090377,5.993156,57.92794,55.546479
1900-01-01 13:39:22.686644,6.093617,6.022322,57.912523,55.537341
1900-01-01 13:39:23.686302,6.090377,6.0126,57.917925,55.530829
1900-01-01 13:39:24.685963,6.087136,5.996397,57.925924,55.530065
1900-01-01 13:39:25.686623,6.087136,5.999637,57.922377,55.529662
1900-01-01 13:39:26.686280,6.100099,5.999637,57.930524,55.539619
1900-01-01 13:39:27.685938,6.096858,5.993156,57.923619,55.535405
1900-01-01 13:39:28.686600,6.093617,5.986675,57.937097,55.535178
1900-01-01 13:39:29.686257,6.093617,6.006119,57.924627,55.524268
1900-01-01 13:39:30.685915,6.096858,6.002878,57.92104,55.5254
1900-01-01 13:39:31.686576,6.070933,6.006119,57.919927,55.531484
1900-01-01 13:39:32.686234,6.090377,6.0126,57.921409,55.520821
1900-01-01 13:39:33.685894,6.096858,6.0126,57.929959,55.537928
1900-01-01 13:39:34.686554,6.087136,6.0126,57.922231,55.534466
1900-01-01 13:39:35.686211,6.116302,5.999637,57.91745,55.524729
1900-01-01 13:39:36.685871,6.113062,5.993156,57.926846,55.536612
1900-01-01 13:39:37.686533,6.096858,6.006119,57.926355,55.545567
1900-01-01 13:39:38.686190,6.10334,6.019082,57.933617,55.534618
1900-01-01 13:39:39.685851,6.10334,6.006119,57.92253,55.527566
1900-01-01 13:39:40.686510,6.096858,6.002878,57.912356,55.526603
1900-01-01 13:39:41.686167,6.087136,5.983434,57.932573,55.534473
1900-01-01 13:39:42.685825,6.10334,5.993156,57.928313,55.543478
1900-01-01 13:39:43.686487,6.100099,5.996397,57.917253,55.536679
1900-01-01 13:39:44.686144,6.109821,6.015841,57.92026,55.537665
1900-01-01 13:39:45.685802,6.119543,6.009359,57.913868,55.537339
1900-01-01 13:39:46.686463,6.113062,6.0126,57.922142,55.526503
1900-01-01 13:39:47.686122,6.116302,6.0126,57.912864,55.525987
1900-01-01 13:39:48.686783,6.135746,6.0126,57.92311,55.522524
1900-01-01 13:39:49.686440,6.113062,6.041766,57.930045,55.540265
1900-01-01 13:39:50.686100,6.109821,6.0126,57.920709,55.544412
1900-01-01 13:39:51.686761,6.116302,6.028804,57.930715,55.531488
1900-01-01 13:39:52.686419,6.10658,6.015841,57.926943,55.536484
1900-01-01 13:39:53.686076,6.100099,6.0126,57.935866,55.534395
1900-01-01 13:39:54.686737,6.113062,6.022322,57.931745,55.530495
1900-01-01 13:39:55.686397,6.093617,6.0126,57.914568,55.532191
1900-01-01 13:39:56.686055,6.100099,6.022322,57.919461,55.534391
1900-01-01 13:39:57.686715,6.113062,6.019082,57.932351,55.534251
1900-01-01 13:39:58.686374,6.109821,6.0126,57.921378,55.53586
1900-01-01 13:39:59.686032,6.087136,6.022322,57.922874,55.535334
1900-01-01 13:40:00.686691,6.10658,6.025563,57.93434,55.54074
1900-01-01 13:40:01.686351,6.119543,6.019082,57.920322,55.534803
1900-01-01 13:40:02.686008,6.10334,6.002878,57.922614,55.5299
1900-01-01 13:40:03.686670,6.113062,6.025563,57.926796,55.536561
1900-01-01 13:40:04.686329,6.090377,6.019082,57.922711,55.532696
1900-01-01 13:40:05.685986,6.093617,6.019082,57.927925,55.533418
1900-01-01 13:40:06.686646,6.096858,6.002878,57.934438,55.528467
1900-01-01 13:40:07.686306,6.10658,6.002878,57.939391,55.545572
1900-01-01 13:40:08.685964,6.116302,6.0126,57.928792,55.531362
1900-01-01 13:40:09.686625,6.10334,5.999637,57.945539,55.539357
1900-01-01 13:40:10.686284,6.100099,6.0126,57.930909,55.533032
1900-01-01 13:40:11.685942,6.096858,6.015841,57.926863,55.52988
1900-01-01 13:40:12.686601,6.096858,6.015841,57.928532,55.532002
1900-01-01 13:40:13.686261,6.10658,5.999637,57.942671,55.544808
1900-01-01 13:40:14.685918,6.080655,6.009359,57.936416,55.539445
1900-01-01 13:40:15.686579,6.090377,5.989915,57.937312,55.543941
1900-01-01 13:40:16.686237,6.083895,6.009359,57.92131,55.520497
1900-01-01 13:40:17.685896,6.100099,5.993156,57.939004,55.525841
1900-01-01 13:40:18.686555,6.10334,5.986675,57.940599,55.544758
1900-01-01 13:40:19.686214,6.100099,5.996397,57.942269,55.540131
1900-01-01 13:40:20.685874,6.074173,5.986675,57.933682,55.527711
1900-01-01 13:40:21.686534,6.090377,5.980193,57.939519,55.543227
1900-01-01 13:40:22.686192,6.093617,6.0126,57.953582,55.540436
1900-01-01 13:40:23.685851,6.100099,6.002878,57.940127,55.538887
1900-01-01 13:40:24.686512,6.10334,6.015841,57.931509,55.532958
