S1 mix P mod					t (s)
7.137					0
7.136					1
7.129					2
7.152					3
7.161					4
7.151					5
7.157					6
7.185					7
7.178					8
7.187					9
7.180					10
7.193					11
7.179					12
7.182					13
7.191					14
7.194					15
7.233					16
7.213					17
7.209					18
7.218					19
7.221					20
7.253					21
7.233					22
7.245					23
7.232					24
7.244					25
7.247					26
7.246					27
7.262					28
7.265					29
7.264					30
7.267					31
7.299					32
7.286					33
7.275					34
7.278					35
7.300					36
7.284					37
7.293					38
7.309					39
7.298					40
7.343					41
7.314					42
7.310					43
7.338					44
7.325					45
7.337					46
7.340					47
7.362					48
7.323					49
7.345					50
7.345					51
7.373					52
7.340					53
7.356					54
7.352					55
7.365					56
7.371					57
7.390					58
7.363					59
7.395					60
7.379					61
7.404					62
7.413					63
7.393					64
7.399					65
7.408					66
7.401					67
7.414					68
7.433					69
7.436					70
7.425					71
7.431					72
7.444					73
7.453					74
7.443					75
7.462					76
7.439					77
7.441					78
7.480					79
7.469					80
7.453					81
7.462					82
7.465					83
7.464					84
7.464					85
7.496					86
7.498					87
7.482					88
7.494					89
7.510					90
7.487					91
7.496					92
7.499					93
7.527					94
7.520					95
7.517					96
7.539					97
7.545					98
7.505					99
7.534					100
7.537					101
7.562					102
7.539					103
7.535					104
7.551					105
7.567					106
7.582					107
7.549					108
7.562					109
7.587					110
7.597					111
7.573					112
7.589					113
7.592					114
7.588					115
7.597					116
7.607					117
7.583					118
7.583					119
7.592					120
7.617					121
7.598					122
7.610					123
7.610					124
7.599					125
7.602					126
7.627					127
7.646					128
7.659					129
7.671					130
7.622					131
7.622					132
7.641					133
7.650					134
7.659					135
7.636					136
7.665					137
7.641					138
7.683					139
7.670					140
7.666					141
7.669					142
7.681					143
7.664					144
7.674					145
7.683					146
7.682					147
7.675					148
7.707					149
7.707					150
7.693					151
7.706					152
7.702					153
7.734					154
7.720					155
7.726					156
7.723					157
7.735					158
7.731					159
7.728					160
7.714					161
7.720					162
7.729					163
7.719					164
7.761					165
7.744					166
7.747					167
7.743					168
7.739					169
7.758					170
7.745					171
7.754					172
7.757					173
7.766					174
7.765					175
7.771					176
7.774					177
7.793					178
7.780					179
7.782					180
7.772					181
7.798					182
7.804					183
7.797					184
7.780					185
7.792					186
7.821					187
7.804					188
7.804					189
7.807					190
7.800					191
7.809					192
7.821					193
7.811					194
7.836					195
7.820					196
7.826					197
7.819					198
7.834					199
7.834					200
7.840					201
7.836					202
7.849					203
7.829					204
7.841					205
7.850					206
7.850					207
7.843					208
7.842					209
7.852					210
7.841					211
7.854					212
7.853					213
7.863					214
7.859					215
7.852					216
7.903					217
7.867					218
7.889					219
7.876					220
7.904					221
7.888					222
7.871					223
7.913					224
7.919					225
7.889					226
7.885					227
7.891					228
7.913					229
7.890					230
7.903					231
7.902					232
7.921					233
7.914					234
7.927					235
7.903					236
7.906					237
7.902					238
7.925					239
7.918					240
7.924					241
7.933					242
7.906					243
7.938					244
7.918					245
7.924					246
7.943					247
7.930					248
7.942					249
7.939					250
7.938					251
7.931					252
7.950					253
7.946					254
7.962					255
7.955					256
7.980					257
7.951					258
7.976					259
7.963					260
7.969					261
