t,S1 ref T,S1 air 1 T,S1 air 2 T,S1 mix T,S2 ref T,S2 air 1 T,S2 air 2 T,S2 mix T,S1 ref P,S1 mix P,S2 ref P,S2 mix P
0.693586,55.146431,57.698248,59.157199,56.331815,55.214149,58.277971,58.327613,55.865104,6.313750,12.548424,8.037682,8.270997
1.692981,55.141517,57.689969,59.151731,56.320270,55.201586,58.265763,58.320346,55.850071,6.307270,12.541943,8.037682,8.277478
2.692643,55.137624,57.684284,59.148270,56.319052,55.192968,58.251069,58.307001,55.840557,6.320231,12.535462,8.066847,8.283958
3.692986,55.147956,57.695052,59.176745,56.335424,55.201051,58.270121,58.327849,55.857857,6.310510,12.528981,8.047404,8.290439
4.692832,55.141202,57.684488,59.161410,56.324791,55.201046,58.263092,58.319921,55.847957,6.329953,12.538702,8.050644,8.274237
5.692986,55.139148,57.687155,59.145750,56.328221,55.195618,58.252143,58.321551,55.834659,6.333193,12.525740,8.053885,8.280718
6.692864,55.141743,57.690869,59.159879,56.335174,55.201362,58.274139,58.335461,55.856819,6.329953,12.564626,8.063606,8.287199
7.694775,55.137202,57.690378,59.158130,56.333872,55.204470,58.266998,58.335508,55.854303,6.291067,12.541943,8.014999,8.258035
8.696490,55.151158,57.700273,59.159609,56.340524,55.213477,58.262862,58.347544,55.857685,6.300789,12.538702,8.034442,8.267756
9.696984,55.152704,57.697098,59.157621,56.330214,55.208948,58.267837,58.345331,55.849560,6.291067,12.564626,8.034442,8.283958
10.696771,55.151350,57.707429,59.164977,56.342527,55.211419,58.276319,58.333597,55.853378,6.313750,12.558145,8.027961,8.264516
11.696917,55.149833,57.691309,59.157015,56.330057,55.204277,58.264086,58.327878,55.855910,6.287827,12.545183,8.011759,8.270997
12.697241,55.147079,57.688110,59.157060,56.333250,55.199724,58.272667,58.343647,55.848884,6.291067,12.558145,8.047404,8.280718
13.697403,55.147874,57.686881,59.164441,56.339741,55.212442,58.275108,58.353501,55.864297,6.291067,12.564626,8.008518,8.270997
14.698499,55.139671,57.682509,59.151974,56.327707,55.202665,58.273643,58.345297,55.849575,6.294308,12.551664,8.021480,8.267756
15.697670,55.153277,57.696771,59.155265,56.342470,55.207496,58.277161,58.348141,55.851706,6.307270,12.551664,8.021480,8.267756
16.698119,55.152237,57.685846,59.166298,56.346098,55.219954,58.288872,58.361424,55.873605,6.291067,12.545183,7.995556,8.258035
17.699740,55.156218,57.690047,59.166222,56.345347,55.220561,58.290592,58.358203,55.861843,6.271624,12.545183,8.018240,8.277478
18.700756,55.157914,57.689494,59.172453,56.338996,55.213258,58.286493,58.359494,55.856342,6.307270,12.564626,8.034442,8.296920
19.701788,55.143872,57.672100,59.153114,56.332221,55.203716,58.269617,58.361936,55.852426,6.316991,12.535462,8.021480,8.274237
20.702457,55.152554,57.677849,59.158262,56.330181,55.206548,58.269825,58.355855,55.859079,6.304029,12.548424,8.040923,8.277478
21.702341,55.143864,57.680405,59.153453,56.325367,55.201908,58.260073,58.353291,55.849718,6.320231,12.561386,8.037682,8.277478
22.702162,55.138959,57.674608,59.153153,56.339680,55.215451,58.258649,58.365569,55.855161,6.300789,12.567867,8.050644,8.264516
23.702531,55.145319,57.682307,59.156615,56.330106,55.210337,58.257171,58.356903,55.849823,6.304029,12.558145,8.037682,8.283958
24.701639,55.161147,57.681713,59.151360,56.340583,55.208617,58.260001,58.368043,55.848554,6.304029,12.551664,8.040923,8.274237
25.703456,55.153746,57.692521,59.164028,56.346074,55.219663,58.272000,58.367239,55.857797,6.307270,12.548424,8.066847,8.287199
26.702975,55.146455,57.684341,59.153572,56.327958,55.212598,58.271872,58.364416,55.851184,6.307270,12.541943,8.034442,8.283958
