t,S1 ref T,S1 air 1 T,S1 air 2 T,S1 mix T,S2 ref T,S2 air 1 T,S2 air 2 T,S2 mix T,S1 ref P,S1 mix P,S2 ref P,S2 mix P
0.688080,55.128082,57.712277,59.173315,56.392470,55.115708,58.428189,58.539817,55.853958,6.271624,12.305388,7.888621,8.290439
1.687725,55.135890,57.708616,59.190834,56.393150,55.127340,58.423029,58.541395,55.861088,6.278105,12.272983,7.908063,8.313123
2.688547,55.128246,57.706375,59.181886,56.385988,55.126446,58.425757,58.542326,55.851199,6.271624,12.282705,7.917785,8.309882
3.688495,55.123016,57.709015,59.176803,56.389443,55.118741,58.420898,58.534772,55.847319,6.281346,12.272983,7.924266,8.287199
4.688174,55.125760,57.707487,59.179316,56.381167,55.121936,58.426107,58.549638,55.838369,6.268384,12.292426,7.904823,8.293680
5.689106,55.128565,57.711861,59.182880,56.381363,55.121366,58.431693,58.547588,55.843196,6.274865,12.302147,7.930747,8.303401
6.688755,55.128497,57.718309,59.177173,56.373401,55.128272,58.426883,58.557152,55.854148,6.297548,12.318350,7.921025,8.287199
7.689652,55.128329,57.711176,59.177179,56.384873,55.119105,58.422621,58.545928,55.846109,6.281346,12.295667,7.911304,8.287199
8.690447,55.138835,57.723465,59.176027,56.384844,55.125111,58.435395,58.541632,55.858635,6.284586,12.289186,7.930747,8.283958
9.689897,55.132091,57.724370,59.186648,56.396378,55.133891,58.440628,58.546865,55.848970,6.252181,12.276224,7.924266,8.296920
10.690002,55.136985,57.717573,59.181803,56.386580,55.125961,58.440947,58.548981,55.847340,6.268384,12.292426,7.917785,8.296920
11.691284,55.128854,57.707881,59.175571,56.381464,55.114230,58.434040,58.533539,55.847758,6.281346,12.315109,7.943709,8.306642
12.691329,55.130687,57.710610,59.181792,56.381173,55.128212,58.435995,58.539088,55.853638,6.278105,12.295667,7.924266,8.300161
13.691801,55.135880,57.727030,59.185442,56.390898,55.131380,58.443465,58.530835,55.865126,6.284586,12.272983,7.953430,8.296920
14.692316,55.116925,57.713044,59.177613,56.381261,55.120525,58.428222,58.534459,55.843255,6.300789,12.305388,7.937228,8.296920
15.691760,55.128894,57.720054,59.177922,56.385167,55.125520,58.431675,58.530501,55.854770,6.284586,12.308628,7.924266,8.303401
16.692240,55.125951,57.723180,59.174947,56.381739,55.125501,58.424207,58.534263,55.850703,6.307270,12.305388,7.924266,8.306642
17.692081,55.124720,57.712964,59.165636,56.388378,55.129220,58.430615,58.536628,55.859369,6.304029,12.321590,7.927506,8.293680
18.692178,55.130801,57.708701,59.174636,56.393568,55.137325,58.433553,58.533726,55.852853,6.294308,12.305388,7.953430,8.303401
19.692099,55.120734,57.712578,59.175105,56.390665,55.127258,58.430429,58.537340,55.850661,6.287827,12.412324,7.933987,8.280718
20.693455,55.137126,57.709851,59.171666,56.385199,55.130827,58.433728,58.532778,55.843208,6.291067,12.402602,7.950190,8.300161
21.693636,55.136383,57.718096,59.182316,56.369557,55.142458,58.444156,58.549944,55.861806,6.297548,12.282705,7.943709,8.290439
22.695535,55.131852,57.710650,59.178206,56.341834,55.135902,58.438248,58.550100,55.855928,6.310510,12.250300,7.946949,8.290439
23.695158,55.140847,57.698063,59.174784,56.325592,55.137472,58.441114,58.549822,55.856823,6.291067,12.217895,7.946949,8.303401
24.695352,55.127969,57.704525,59.166944,56.322237,55.129994,58.431699,58.542204,55.859693,6.297548,12.208174,7.963152,8.290439
25.695418,55.130598,57.704680,59.169059,56.322557,55.139823,58.439430,58.559367,55.850626,6.278105,12.234097,7.959911,8.293680
26.695498,55.128842,57.700678,59.176788,56.319728,55.140991,58.437952,58.550029,55.854493,6.297548,12.208174,7.946949,8.290439
27.695509,55.134311,57.700973,59.171617,56.300385,55.143985,58.429186,58.548675,55.859060,6.294308,12.211414,7.976113,8.300161
28.695502,55.125305,57.703438,59.171188,56.277247,55.130480,58.422917,58.541283,55.850508,6.281346,12.237338,7.917785,8.287199
29.695210,55.132711,57.697802,59.174875,56.287909,55.145085,58.437387,58.543399,55.860609,6.284586,12.227617,7.930747,8.283958
30.695251,55.124217,57.701227,59.173958,56.254838,55.131641,58.433100,58.547423,55.859540,6.268384,12.224376,7.940468,8.287199
31.696330,55.137986,57.693408,59.168614,56.252410,55.129886,58.427755,58.529500,55.847666,6.271624,12.237338,7.933987,8.293680
32.695826,55.135919,57.702804,59.177715,56.255227,55.138394,58.439104,58.539277,55.851672,6.268384,12.243819,7.927506,8.283958
33.696413,55.151461,57.714730,59.187227,56.267676,55.155511,58.446149,58.558899,55.865409,6.268384,12.276224,7.946949,8.303401
34.696105,55.127906,57.708507,59.175597,56.258727,55.147255,58.437210,58.549960,55.856706,6.287827,12.276224,7.921025,8.303401
35.696566,55.127402,57.703285,59.173895,56.241284,55.137077,58.426299,58.538151,55.847656,6.274865,12.302147,7.914544,8.300161
36.695888,55.133433,57.706836,59.169871,56.236805,55.138608,58.435975,58.531881,55.850761,6.291067,12.282705,7.937228,8.283958
37.696490,55.134339,57.696507,59.172250,56.239187,55.146938,58.440601,58.527073,55.853916,6.274865,12.298907,7.946949,8.290439
38.696472,55.134308,57.693779,59.167378,56.234758,55.138132,58.435727,58.523547,55.865129,6.261903,12.305388,7.930747,8.290439
39.696502,55.140103,57.686760,59.172824,56.244034,55.140778,58.429720,58.526974,55.863501,6.284586,12.321590,7.933987,8.287199
40.696329,55.142572,57.695067,59.179593,56.243842,55.154496,58.440983,58.534193,55.864394,6.258662,12.308628,7.924266,8.283958
41.696425,55.134466,57.689219,59.171903,56.235467,55.135591,58.427900,58.540875,55.862139,6.278105,12.305388,7.921025,8.300161
42.696273,55.136986,57.691960,59.173347,56.240510,55.150035,58.430692,58.528619,55.853413,6.268384,12.331312,7.937228,8.296920
43.697132,55.132316,57.697857,59.182070,56.234181,55.139741,58.425268,58.530832,55.852344,6.274865,12.328071,7.940468,8.287199
44.697653,55.122937,57.690512,59.166785,56.219324,55.129012,58.429294,58.529467,55.853313,6.281346,12.328071,7.940468,8.270997
45.698723,55.123220,57.697086,59.172145,56.221543,55.145943,58.415339,58.526743,55.857419,6.291067,12.331312,7.950190,8.293680
46.699829,55.129213,57.703746,59.162933,56.237051,55.134163,58.420499,58.528983,55.858238,6.287827,12.347514,7.966392,8.300161
