t,S5 ref T,S5 air 1 T,S5 air 2 T,S5 mix T,S6 ref T,S6 air 1 T,S6 air 2 T,S6 mix T,S5 ref P,S5 mix P,S6 ref P,S6 mix P
1.074859,21.956358,21.952286,21.971714,21.966304,21.856991,21.987582,22.021439,21.869854,15.378206,15.306911,14.483774,14.561551
2.075519,21.955205,21.932210,21.943081,21.945028,21.836451,21.984578,22.006684,21.857135,15.358762,15.310151,14.490255,14.555069
3.076179,21.956882,21.937530,21.952333,21.958733,21.837145,21.987412,22.022873,21.859275,15.368484,15.313392,14.503218,14.551829
4.075871,21.971837,21.950968,21.950506,21.957266,21.848734,21.999822,22.030991,21.874693,15.374965,15.293948,14.483774,14.561551
5.076499,21.959371,21.955283,21.956440,21.967466,21.850274,21.989206,22.020736,21.868471,15.404132,15.326355,14.467571,14.545347
6.076157,21.957154,21.939210,21.954475,21.962011,21.852935,21.994391,22.025941,21.866023,15.384688,15.297189,14.487015,14.551829
7.076820,21.953521,21.930307,21.946960,21.964160,21.845419,21.984282,22.016576,21.863546,15.374965,15.303670,14.483774,14.545347
8.076476,21.946711,21.936183,21.957230,21.955269,21.848057,21.988805,22.020601,21.865757,15.362003,15.310151,14.487015,14.548588
9.076134,21.962869,21.937248,21.947888,21.959862,21.852130,21.991085,22.021898,21.862718,15.352281,15.310151,14.487015,14.545347
10.076795,21.958773,21.944591,21.951298,21.971725,21.853228,21.986758,22.014901,21.874350,15.374965,15.329596,14.503218,14.580995
11.076454,21.955620,21.947507,21.950051,21.955388,21.863777,21.994938,22.018742,21.871659,15.391169,15.310151,14.490255,14.564791
12.076114,21.958395,21.942732,21.943657,21.952382,21.841422,21.986380,22.017205,21.866339,15.384688,15.300429,14.493496,14.584236
13.076775,21.961621,21.946052,21.966868,21.955377,21.855845,22.000477,22.028388,21.864014,15.384688,15.306911,14.499977,14.574513
14.076433,21.962087,21.942328,21.958749,21.960236,21.848651,21.992616,22.016107,21.872575,15.378206,15.323114,14.499977,14.561551
15.076092,21.961926,21.949372,21.959780,21.957762,21.853845,22.000781,22.026851,21.863162,15.374965,15.332836,14.499977,14.574513
16.076750,21.957833,21.945384,21.954404,21.953438,21.856103,21.987206,22.024020,21.857450,15.391169,15.310151,14.480533,14.580995
17.076409,21.956146,21.937324,21.959065,21.962160,21.860301,21.991764,22.023592,21.867791,15.368484,15.306911,14.493496,14.568032
18.076069,21.961779,21.952302,21.957390,21.955303,21.854925,21.998322,22.020761,21.870649,15.358762,15.342558,14.490255,14.568032
19.076730,21.959639,21.944371,21.947840,21.949000,21.843524,21.986005,22.011905,21.860644,15.384688,15.332836,14.509700,14.571273
20.076385,21.956436,21.946396,21.955648,21.955511,21.843699,21.999455,22.015319,21.858135,15.404132,15.287467,14.509700,14.574513
21.076046,21.956093,21.944974,21.960932,21.957018,21.846903,21.997030,22.018753,21.857329,15.381447,15.303670,14.506459,14.577754
