time,mixture cell P,reference cell P,mixture cell T,reference cell T
1900-01-01 13:36:00.884527,14.137268,14.357859,55.652605,56.128473
1900-01-01 13:36:01.885311,14.140508,14.359872,55.654711,56.131253
1900-01-01 13:36:02.887356,14.127548,14.343774,55.653048,56.129591
1900-01-01 13:36:03.887690,14.137268,14.345786,55.657027,56.128172
1900-01-01 13:36:04.888895,14.150228,14.347798,55.662679,56.135846
1900-01-01 13:36:05.889063,14.130788,14.353835,55.665024,56.135268
1900-01-01 13:36:06.888667,14.143748,14.359872,55.664165,56.136433
1900-01-01 13:36:07.888666,14.146988,14.355847,55.661589,56.136106
1900-01-01 13:36:08.889391,14.150228,14.347798,55.661724,56.13669
1900-01-01 13:36:09.888873,14.140508,14.357859,55.653874,56.126369
1900-01-01 13:36:10.889779,14.134028,14.373957,55.650394,56.122665
1900-01-01 13:36:11.890821,14.146988,14.375969,55.6481,56.123519
1900-01-01 13:36:12.891533,14.150228,14.359872,55.649523,56.125167
1900-01-01 13:36:13.891489,14.159948,14.375969,55.648302,56.122597
1900-01-01 13:36:14.891790,14.143748,14.365908,55.659602,56.131645
1900-01-01 13:36:15.892841,14.156708,14.347798,55.660777,56.137768
1900-01-01 13:36:16.893786,14.176148,14.379994,55.666496,56.140562
1900-01-01 13:36:17.893941,14.172908,14.371945,55.668169,56.141785
1900-01-01 13:36:18.894000,14.172908,14.373957,55.671365,56.14453
1900-01-01 13:36:19.894271,14.163188,14.36792,55.6672,56.143739
1900-01-01 13:36:20.894155,14.172908,14.375969,55.665176,56.139691
1900-01-01 13:36:21.894151,14.166428,14.363896,55.668762,56.140129
1900-01-01 13:36:22.894228,14.163188,14.365908,55.665413,56.140828
1900-01-01 13:36:23.895431,14.159948,14.373957,55.667382,56.139423
1900-01-01 13:36:24.896335,14.166428,14.371945,55.667194,56.138561
1900-01-01 13:36:25.896323,14.159948,14.375969,55.661033,56.138023
1900-01-01 13:36:26.898019,14.163188,14.357859,55.663229,56.136846
1900-01-01 13:36:27.898388,14.143748,14.353835,55.662051,56.138142
1900-01-01 13:36:28.898403,14.153468,14.351823,55.663327,56.134246
1900-01-01 13:36:29.898436,14.146988,14.365908,55.663994,56.136486
1900-01-01 13:36:30.898769,14.163188,14.359872,55.662521,56.137937
1900-01-01 13:36:31.898569,14.150228,14.384018,55.663934,56.137101
1900-01-01 13:36:32.898259,14.159948,14.365908,55.661857,56.13435
1900-01-01 13:36:33.898449,14.130788,14.359872,55.663272,56.133965
1900-01-01 13:36:34.898514,14.153468,14.361884,55.664341,56.132336
1900-01-01 13:36:35.898551,14.163188,14.355847,55.65734,56.130509
1900-01-01 13:36:36.898666,14.137268,14.34981,55.656927,56.126498
1900-01-01 13:36:37.898609,14.134028,14.353835,55.64991,56.121281
1900-01-01 13:36:38.898664,14.134028,14.339749,55.65423,56.127175
1900-01-01 13:36:39.898694,14.150228,14.34981,55.653549,56.130316
1900-01-01 13:36:40.899757,14.146988,14.359872,55.65578,56.131647
1900-01-01 13:36:41.900825,14.134028,14.347798,55.657825,56.131443
1900-01-01 13:36:42.901834,14.121068,14.343774,55.657622,56.131465
1900-01-01 13:36:43.901811,14.117828,14.347798,55.656467,56.13863
1900-01-01 13:36:44.902546,14.124308,14.343774,55.659665,56.136656
1900-01-01 13:36:45.903765,14.143748,14.359872,55.664826,56.14204
1900-01-01 13:36:46.904978,14.140508,14.351823,55.659998,56.137663
1900-01-01 13:36:47.904979,14.140508,14.359872,55.659512,56.136952
1900-01-01 13:36:48.904830,14.134028,14.353835,55.651652,56.130893
1900-01-01 13:36:49.904902,14.156708,14.359872,55.65304,56.129358
1900-01-01 13:36:50.905984,14.153468,14.369933,55.655843,56.134184
1900-01-01 13:36:51.906684,14.153468,14.355847,55.654543,56.138955
1900-01-01 13:36:52.906752,14.163188,14.357859,55.658547,56.140035
1900-01-01 13:36:53.908758,14.150228,14.369933,55.656162,56.136302
1900-01-01 13:36:54.909082,14.159948,14.365908,55.657175,56.139787
1900-01-01 13:36:55.909149,14.163188,14.369933,55.658491,56.136382
1900-01-01 13:36:56.909282,14.156708,14.375969,55.657136,56.134802
1900-01-01 13:36:57.909151,14.146988,14.369933,55.656496,56.137535
1900-01-01 13:36:58.909219,14.146988,14.363896,55.66023,56.139244
1900-01-01 13:36:59.909253,14.146988,14.355847,55.661463,56.139802
1900-01-01 13:37:00.909189,14.153468,14.365908,55.663534,56.1376
1900-01-01 13:37:01.909325,14.156708,14.347798,55.656038,56.133929
1900-01-01 13:37:02.909410,14.140508,14.373957,55.658727,56.136842
1900-01-01 13:37:03.909315,14.156708,14.355847,55.660279,56.139068
1900-01-01 13:37:04.909453,14.146988,14.351823,55.660555,56.135521
1900-01-01 13:37:05.909312,14.150228,14.363896,55.6563,56.136214
1900-01-01 13:37:06.909414,14.146988,14.355847,55.65576,56.131852
1900-01-01 13:37:07.909469,14.156708,14.36792,55.654359,56.138097
1900-01-01 13:37:08.909579,14.156708,14.359872,55.657715,56.135155
1900-01-01 13:37:09.909487,14.140508,14.365908,55.651501,56.128943
1900-01-01 13:37:10.910648,14.140508,14.365908,55.652695,56.131261
1900-01-01 13:37:11.911160,14.146988,14.361884,55.65239,56.133205
1900-01-01 13:37:12.911204,14.134028,14.357859,55.651748,56.132788
1900-01-01 13:37:13.911347,14.143748,14.361884,55.654584,56.1327
1900-01-01 13:37:14.912207,14.146988,14.361884,55.654208,56.133224
1900-01-01 13:37:15.912328,14.146988,14.361884,55.657067,56.135407
1900-01-01 13:37:16.911743,14.146988,14.361884,55.65456,56.137848
1900-01-01 13:37:17.911755,14.146988,14.359872,55.657523,56.136538
1900-01-01 13:37:18.912418,14.146988,14.353835,55.655678,56.137617
1900-01-01 13:37:19.913560,14.140508,14.339749,55.657124,56.137713
1900-01-01 13:37:20.913725,14.153468,14.369933,55.657251,56.140313
1900-01-01 13:37:21.913770,14.143748,14.351823,55.654627,56.137241
1900-01-01 13:37:22.913889,14.150228,14.345786,55.654353,56.134493
1900-01-01 13:37:23.914751,14.146988,14.339749,55.657288,56.136752
1900-01-01 13:37:24.915183,14.130788,14.345786,55.654192,56.134107
